ID,Answer,Generated

 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box. box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box box box. box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box{ box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box{2 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box{2 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box. box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box.

 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box4 box box box box box box4 box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box1 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box4 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box box0 box box box box box box box box box0 box box box box box0 box box box box box box box box0 box box box box box box box0 box box box box box box box box box box box box box box box0 box box box box box0 box box0 box box box box0 box box0 box box box box0 box box0 box box box box box0 box box box box4 box box box box box0 box box box box box box box0 box box box box box0 box box box box0 box box box box0 box box box box0 box box box box0 box box box box0 box box box0 box box box box0 box box box0 box box box box0 box box0 box box box box0 box box0 box box0 box box0 box box0 box box0 box box0 box box0 box box0 box0 box box0 box0 box box0 box0 box0 box0 box0 box0 box0 box0 box0 box0 box,,,0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box0 box box box box box box box0 box box box box box box0 box box box box box box box box0 box box box box box0 box box box box0 box box box0 box box box box0 box box0 box box0 box box box box box box0 box0 box box box box0 box0 box box0 box box4 box box box box box0 box0 box box box box box box,0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box box box box box0 box box box box box6 box box box box box0 box0 box box box box box box0 box0 box box box box box box box box box box box box box box box0 box0 box box0 box box box box box0 box0 box0 box box0 box0 box0 box0 box0 box0 box0 box0 box0 box,,0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box,0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box,,, box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box,,0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box boxioneerioneer,,0 box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box0 box box box box0 box0 box box box box0 box0 box0 box box box box0 box box,,, box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box box否0 box box incarcer box box box box box box box box box0 box box box box box box box box box box box box box box box box box box box box6 box box0 box box0 box box0 box box0 box box0 box box0 box0 box box0 box0 box0 box0 box0 box0 box0 box,,, box box box box box box box0 box box box box box box box box box box box box box否 box box box box box box6 box box box box box box ""\(ioneerioneer box box box box box box box box0 box box0 box box box box0 box否 box box box box box box0 box2 box box box box box box0 box box box box box box0 box box0 box box0 box box0 box box0 box box,,, box box box box box box0 box box否 box box box box box0 box box0 box box box box box0 box0 box box box box box0 box0 box box box box0 box0 box box0 box box0 box0 box0 box,,, box box box box box box0 box0 box box box box box2 box box2 box box boxioneer box box box box box box boxifiers box box box box box box2 box box0 box box,,0 box box box box4 box box,, box box box box0oftware box box box box box box0 box box0 box box0 box box0 box box,, box box box box,, box box box box0 box box,, box box box box0 box0 box box0 box box0 box,, box box box box,, box box box box box,, box box box boxifiers box box0 box box,, box box box0 box,, box box box0 box0 box,, box box box, box, box6oftware box box boxioneerioneerioneer box box box box0 elé box box box box,, box box0 box0 box0 box,, box box,0 box, box, box0 box0 box,, box, box0 box, box, box0 box, box, box0 box, box, box0 box, box, box, box0 box, box, box, box, box, box0 box, box, box, box, box, box0 box, box, box, box, box, box0 box, box, box, box0 incarcer incarcer box box box box, box, box1 box box,oftware box box box box0oftwareoftware incarceroftwareoftwareoftwareoftware box box box box boxoftware incarcer box box box box box box box box box0 boxometry box box box box0 box0 box0 box0 box0 box0 box,, box, box0 box, box, box0 box0 box,, box0 box, box, box0 box, box, box0 box0 box, box0 box0 box, box0 box, box, box, box0oftware box box box box,, box box0 box0 box,,oftware box box box box,, box box0 boxoftwareoftware box box box box box0 box box0 box2 box box0.

, incarcer box box box box,,oftwareoftware box box box box box1 box box,, box.

, box box0 box, box, box0 box, box, box0 box, box0 box, box0 box0 box, box, box, box0 box,2ioneerioneer box box box,, box0 box0 box, box, box0 box,2 box box, box, box, box, box,oftware box box.

,oftwareoftwareoftwareoftwareoftware eléoftwareoftwareoftware box box box.

,oftware box box box box boxioneer incarcer incarcer box box box box box.

, box.

, incarcer box box box box box box, box2 box box, box1 box.

, incarcer box box box box, box,本来 box.

, box.

, box box, box, box, box, box0 box0 box0 box, box, box0 box, box, box, box, box, box, 2. The box.

, box box, box, box, box, box0 box0 box, box, box, box, incarcer elé box box box box box, box, 2. box box0 box box, incarcer elé box 2.4 box box box box.

, box 2 box box0 box, box, box, box, box0 box, 3 box box0 box, box, box0 box, box0 box0 box, incarcer box box box box0.

, box box0 box, box, box0 box, box, box0 box0 box, box, 10 box box, box, 1. The0 box.

,本来 box.

, incarcer elé box box box box box box, box, box box0 box box0 box0.

,本来 box.

, box box, 1. box, 2.本来oftwareoftwareoftware elé box box box box.

, incarcer box box box box box box box0 box0 box.

, box box box.

, box box, box0 box0 box0 box, box, box, box, 1.2 box.

, box box0 box, 1 box box0 box, box, box0 box, box, box0 box, box, box, box0 box, box, box, 10 box box0 box, 2. 2.02 box.

, 2. box0 box, box, 2. The0 box box, box,oftware.

, we have box.

``` elé incarcer incarcer box 2. The box.

 \boxed{1 box box box box box.

\boxed box.

\boxed box.

\boxed{1 box box box0 box, box0 box0 box, box, box0 box, box, box, box, box0 box0 box, 1 box box0.

, we have box box0 box, box0 box0 box, box0 box0 box, box, box, box, box, box, 2ioneer 3 box.

,oftware.

, we have box.

\boxed box.

, we have box.

The, box.

\boxed box.

\boxed 1 box.

```.

``` box.

\boxed box.

\boxed box.

``` \boxed box.

\boxed box.

\boxed{2 box box.

The, we have box box0 box0 box, box, box, box, box, box, box, box, box, box, box, box, box, box, 2. 2. The box.

 \boxed box.

\boxed box.

\boxed box.

\boxed box.

The, we have box.

The, we have 2 box.

0 box0 incarcer elé.

0 box.

\boxed 2 box.

``` box box box box.

``` \boxed box.

\boxed box.

\boxed box.

\boxed{2 box box.

\boxed 2 box.

\boxed 3. 0 box.

0 box.

, we have box.

\boxed box.

0 box0.

\boxed{ box.

0 box.

, we have box.

, we have 2. The box.

\boxed 2. 2. \boxed 2 box.

\ioneer incarcer elé.

0 box.

\boxed 2. \boxed{2 box.

The, 3. The box.

\ioneer incarcer the answer.

\boxed 2. 2. ""\(2 box.

\boxed 2. \boxed 3. \boxed 3. \boxed 2 box.

\boxed 2. The 2 box.

\boxed 3. \boxed{2 box 2. The.

\boxed 2. \boxed 2. \boxed 3. \boxed 2. \boxed 2. 2. The answer is 3. \boxed2. The 2. The本来.

The, 2 incarcer 2. The.

\boxed2 box.

0. \boxed 2. The box.

\boxed 2 incarceroftware incarcer 2. incarcer incarcer incarcer incarcer,1 incarcer incarcer, 2. incarcer incarcer incarcer.

, 2. \boxed.

\boxed 3. \boxed 0.

The, 2. The2. The 2. 2 box.

\boxed2. The0 box.

00.

\boxed2. The.

\boxed2 box.

\boxed 2. \boxed2.

\boxedoftware incarcer 2. The box.

\boxed 200.

\boxed2 incarcer本来.

0.

0.

\ioneer box 2. incarcer 2. The.

\boxed2. The box.

\boxed2. The.

\boxed2 box.

2. incarcer elé incarcer 2012.

\boxed incarcer incarcer elé.

0. The 2. The 2000.

\boxed2 box 2. The box.

\boxed2 box.

\boxed2.

\boxed 2. The 2. 2. 2. The.

\boxed 2. The box.

\boxed202.

\boxed2 incarcer the 2. The.

\boxed202. 2. 2 incarceroftware incarcer incarcer 2 incarcer incarceroftware incarcer 2. incarcer incarceroftware 2.oftware incarcer incarcer 2. 2本来 incarcer 2. 2. The 2. 2. The 2 incarceroftware incarcer elé 2. 2. The 2.

, 2. \boxed2 box.

2. \boxed2 box.

\boxed2 box.

\boxed 2. The 2. \boxed2 box.

\ioneer incarcer incarcer 2. \boxed2. 200.

0. 2002.

\boxed 24. 24. \boxed 2. incarcer incarcer incarcer, 2. 2. 2 incarcer incarcer1. 24.oftware.

12. 24. 24. The.

\boxed 2. \boxed 2. \boxed 2. 2. 2. 2. 2. 2. The.

\boxed2. \boxed 2002.

0. 2002.

\ incarcer本来.

\boxed 2. 2. incarcer incarcer elé 2.

024. \boxed \boxed 2. 2 incarceroftware incarcer, 2. 2 incarcer 2. 2.

12. 2. 2.  incarcer incarcer incarcer incarcer, 2本来.

0. 201.

0.

00.

\boxed 2. The.

0.

02.

\boxed 2. \boxed 202002.

02.

, 24. 24. 2. 2.

0.

00.

1. 2.

00.

\boxed \boxed 2.

02.

, 2.

02.

02.

02 incarcer incarcer02.

02.

02.

00.

02.

02本来 incarcer 2.

02.

02.

02.

\boxed 2.

, 2.

02.

, 2.

, 2.

0.

02本来 2.

02.

1..

1.

, 2.

\boxed 202.

02.

02 2. 2. 2. 2.

02.

, 2.

\boxed incarcer 2. 2.

, 20. 2002.

, incarcer elé 2.

0.

, incarcer,2.

02.

02.

 incarcer incarcer, 2.

 \boxed 2.

0.

03. 2.

02.

, 2.

02.

\boxed.

0.

0.

0.

00.

02.

002.

02.

02.

02 box.

, 2.

0.

00.

\boxed 2002.

0.

02.

02 2.

02.

02.

02 2.

\boxed 2.

01.

0.

0.

, 2.

0.

02.

02 box 2.

0.

0.

, 2.

02.

02.

02 incarceroftware 2.

\ioneer incarcer incarcer0.

\boxed 24. 2002.

02.

, 2 box.

02.

\boxed 2. 2.

02.

02 box.

00.

\boxed 2本来 incarcer 2.

0.

0.

02.

2.

02.

\boxed 200.

02.

02.

02.

\boxed 2 incarcer incarcer, incarcer02.

0 incarceroftware.

02.

02.

02 2002.

1..

02.

\boxed 2..

0.

, 2.

1.

02 incarcer 2.

10. 2. 24.

 2.

\boxed2.

0.

0.

02.

\boxed 24.

02.

02.

0.

00.

\boxed 2012.

0.

0.

0.

0.

, 2.

02.

02.

0.

00.

\boxed 2.

, 201. 24.

02 incarceroftware incarceroftware.

0 incarcer incarcer02.

1.2.

 \boxed 2002.

02oftware incarcer 2.

0.

,21.

\boxed .

0.

02 incarcer incarcer 24.

02.

1.

0.

02.

 \boxed 200.

02.

00.

2. The2.

\boxed 24.

02.

002.

\boxed2002.

0.

02.

2.

0202.

\boxed 2002.

0.

, 2.

024. \boxed 24 \boxed02 2 incarcer incarcer02222.

02.

029.

02.

02.

\boxed 2002.

0.

, 2.

02.

\ \boxed 2本来 incarcer 2.

02 incarcer 2.

02.

\boxed 2002.

0.

0023. \boxed 202.

0.

002.

\boxed incarcer 202.

02 2.

02本来.

 2.

012本来 24.

 2.

\boxed 2 incarcer.

0.

0.

0.

\boxed 2002.

022本来 2.

2 incarceroftware.

 \boxed incarceroftware 2.

0.

0.

2.

\boxed 200.

\boxed201.

0.

02.

2.

0.

0.

\boxed 2 incarcer 1.

\boxed2.

2.

0.

02.

 2.

\boxed2.

\boxed.

\boxed10.

\boxed200.

\ incarcer 2002.

 elé incarcer elé.

2.

02.

\boxed incarcer elé 2.

0.

0222.

\boxed22.

\boxed 4 \boxed22.

02.

\boxed2.

2.

02.

2.

, 4 \boxed 2.

\boxed22.

 \boxed 4.

100.

2.

002.

\boxed2002.

022.

24.

0.

0.

\boxed22.

 \boxed 4 \boxed 42.

00.

\boxed 24.

2.

02.

02.

02.

69.

02.

1 incarcer 2.

0.

, incarcer elé 41002.

\ioneer incarceroftware 1.

 24.

 2.

 \boxed2.

0.

, 4 \boxed 24 \boxed 2.

01.

0.

012.

\boxed 201.

0.

012.

0.

02.

2.

0.

00.

2 \boxed22.

02.

022.

02.

02.

\boxed 200.

0.

00.

2 \boxed 2002.

022.

\boxed 4 \boxed 2.

0.

, 4 \boxedioneerioneer0.

 241 incarceroftwareoftwareoftwareoftware 24.

0.

0.

02.

\boxed2.

 2.

01.

02.

\boxed2.

2.

0.

02.

022.

2.

02.

01.

0.

01.

0.

0.

0.

0.

0.

00.

 2.

002.

 \boxed2.

0.

0.

0.

02.

02.

00.

0.

01.

\boxed 4 \ \boxed2.

02.

02.

02 incarcer incarcer 4 \boxed 24.

0.

012.

0.

012.

0.

012 \boxed2.

012.

0.

02.

\ \boxed2.

0.

0.

0.

02.

0.

0.

0.

012.

\boxed2.

023.

0.

0.

02.

02.

02.

02.

0.

02.

02.

02.

0.

0.

0.

021.

 2.

0oftwareoftwareoftware02 incarcer 4.

\boxed2.

0.

02.

00.

\boxed2.

02.

0.

02 incarceroftware.

2.

0.

02.

02.

\ \boxed1.

02.

0.

02.

0.

0.

02.

\]

02.

 The0.

 \boxed2.

0.

0.

01.

2.

0.

01.

\ \boxed00.

0.

0212.

02.

0.

00.

000.

\boxed 200.

0.

0.

0.

002.

\boxed 2.

1 incarcer elé.

0.

0oftwareoftware2.

0oftwareoftware.

 2.

02.

\ \boxed2 \ \frac 2.

0 incarcer elé.

 2.

02.

0.

02.

 24.

\ \boxed .

0.

0.

02.

00.

 2.

02.

2.

0.

00.

 2.

0.

00.

\ \boxed1.

0.

0.

02.

0.

02.

0.

0.

02.

02.

00.

\]

0.

000.

 \boxed2.

02.

02.

02.

02.

02.

02 incarceroftwareoftware.

\]

02.

\boxed 200.

02.

00.

02.

0oftware.

02.

0oftware.

02.

2.

02.

\ \boxed1.

0.

000.

\]

000.

 2.

000.

\]

0100.

\]

00.

 2.

000.

 2.

\ \boxed2.

010.

0.

01.

\]

0.

00.

 2.

000.

 2.

000.

\).

 2.

02.

01.

 1.

oftwareoftwareioneer.

 2.

 24.

 24.

 2.

0.

00.

 4.

 2.

 2.

\).

 \boxed2.

02.

0.

0.

0.

0.

0.

00.

 \boxed.

0.

00.

00.

00.

\).

 2.

0.

0.

0.

\).

 \boxed2.

\ \boxed.

00.

0.

012.

2.

01.

\}.

 4.

 2.

\.

 2.

\.

 2.

 \boxed.

01.

\).

0.

0.

0.

00.

 2.

\]

0.

0.

0.

0.

\ \boxed \boxed.

00.

0.

0.

0.

0.

1.

0.

\]

0.

00.

 4.

 \boxed2.

0.

0.

0.

0.

00.

 4.

\ \boxed2.

0.

0.

0.

0.

1.

1.

\]

0.

0.

2.

0.

00.

 2.

0.

\]

0.

\]

002.

 2.

 2.

 incarcer incarcer0.

 4.

 4.

 2.

 2.

 2.

 10.

 2.

 2.

 2.

 2.

 2.

 2.

 24.

 2.

 2.

 1.

 2.

 14.

 2.

 14.

 2.

0.

0.

0.

0.

\ \ \.

\0.

 \boxed.

0.

0.

0.

, 2.

0.

0.

\ \boxed.

0.

0.

0.

0.

0.

\ \ \ \.

0.

0 incarcer incarcer0.

 2.

 2.

 2.

 2.

 \boxed.

0.

0.

0.

0.

\]

,0.

 \times.

\]

0.

0.

\]

0.

 \boxed.

0.

00.

2.

0.

0.

0.

\]

0.

0.

 \boxed.

0.

0.

0.

0.

0.

0.

0.

\]

0.

0.

0.

\]

0.

\ \times.

0.

 \times.

0.

01.

 \}$.

 \boxed.

\0.

0.

0.

0.

 \boxed incarcer incarcer0.

0.

0.

0.

0.

0.

2.

\ioneerioneer0.

 \}$.

 \varoftware.

 \}$.

 2.

 \}$0.

 \times.

0.

 \boxed.

 \end.

 \times.

0.

0.

 \times.

\ \frac \times.

0.

0.

0.

0.

0.

 \times.

0.

0.

 \times.

0.

0.

0.

\end.

 2.

2.

 \end.

 \end.

 \end0.

 \end0.

 \end0.

 \end0.

 4.

 2.

 \}$.

 4.

 1.

 1.

 4.

 \}$01.

 \ \.

 \ \.

 \ \ \.

 \frac 4.

 \times.

0.

2.

 \times.

 \end.

 \ \.

 \end0.

 \times.

 \times.

 \times.

 \times.

 \times.

 \times1.

 4.

 \end.

 \ \.

 4.

 \]

0.

 \end.

 \times.

 \end0.

 \times.

 \ \.

 4.

 \end2.

 4.

 \end0.

 \end0.

 incarcer incarcer0.

 2.

 4.

 2.

 1.

 2.

 incarcer incarcer0.

 4.

 incarcer0.

 \).

 1.

 4.

 4.

 \]

0.

 \frac.

 4.

 1.

 4.

 1.

 4.

 1.

 \ \0.

 \).

0.

 4.

 2.

 \]

0.

 \]

0.

 \]

0.

 4.

 1.

 4.

 1.

 4.

 1.

 4.

 1.

 4.

 4.

 \]

0.

 1.

 4.

 1.

 2.

 2.

 4.

 1.

 \]

0.

 \]

0.

 \]

0.

 \]

0.

 4.

 4.

 2.

 \]

0.

 \]

0.

 4.

 \]

0.

 4.

 \]

0.

 2.

 \end.

 1.

 1.

 1.

 4.

 2.

 \]

0.

 1.

 4.

 \]

0.

 \ \ \0.

 2.

 2.

 1.

 2.

 4.

 \ \0.

 \]

0.

 1.

 incarcer.

 4.

 1.

 \).



1 incarceroftware.

 \).

 incarceroftware0.

 \).

0.

 4.

 1.

 \]

0.

 1.

 \]

0.

 1.

 4.

 4.

 \]

0.

 \]

0.

 \]

0.

 4.

 \]

0.

 \]

0.

 \]

0.

 2.

 \]

0.

 1.

 \]

0.

 4.

 \]

0.

 \ \ \).

2.

 \]

0.

 \]

0.

 1.

 1.

 4.

 1.

 1.

 1.

 \]

0.

 1.

 1.

 4.

 incarcer.

 \ \1.

 1.

 1.

 elé incarcer0.

 \).

,0.

 .

 1.

 \).

2.

 \).

0.

 1.

 1.

 1.

 1.

 \).

0.

 3.

 \).

0.

 \).

0.

 \).

0.

 \]

0.

 \).

0.

 1.

 \]

0.

 1.

 \).

0.

 \]

0.

 \]

0.

 \).

0.

 \]

0.

 \).

0.

 1.

 1.

 1.

 1.

 1.

 4.

 1.

 \).

0.

 \).

0.

 14.

 \]

0.

 1.

 1.

 1.

 1.

 1.

 2.

 \).

0.

 \).

0.

 \).

0.

 1.

 \).

0.

 1.

 1.

 1.

 \).

0.

 1.

 \).

0.

 \).

0.

 \).

 \boxed.

2.

0.

0.

0.

0.

0.

 \).

 \boxed.

2.

0.

0.

0.

0.

0.

2.

 \).

 \).

 4.

 \).

 1.

 1.

 incarcer 1.

 2.

 1.

 2.

 1.

 \).

2.

 1.

 2.

 1.

 \).

0.

 2.

 2.

 1.

 1.

 1.

 1.

 \).

0.

 1.

 \).

0.

 1.

 \boxed.

 \).

0.

 \).

0.

 1.

 \).

0.

 1.

 \ \ \).

0.

 \ \).

 \boxed.

 \).

0.

 1.

 1.

 1.

 \).

0.

 \).

0.

 \ \).

 \ \).

0.

 2.

 \).

0.

 \).

2.

 1.

 2.

 incarcer incarcer.

 \).

 \).

 \boxed.

2.

0.

0.

 \).

0.

 \).

0.

 \).

 \).

 \boxed.

 \).

 \).

0.

}

, 2.

 \).

 \boxed.

}

0.

0.

 \).

 \).

 \).

 \boxed.

 \).

 \).

0.

2.

 \ \).

 \).

0.

1.

1.

 \).

 \]

, 1.

 \ \).

 \).

0.

 1.

 \).

 \).



, 2.

 \boxed.

 \).

 \).

1.

 \).

 \).

 \boxed.

 \).

1.

 \ \).

0.

```.

 1.

 \).

, 2.

 \).

 \ \).

2.

 \).

0.

 \]

0.

 \).

 \).

0.

 \).

0.

 \).

 \boxed.

 \).

 \).

 \boxed.

 \).

, 2.

 \).

0.

 \).

 \boxed.

 \boxed.

 \).

0.

 incarcer 2.

 \).

 \boxed.

 \).

0.

2.

 \).

 \boxed.

1.

\0.

 \ \ifier.

 \) 2.

 \).

 \).

 \boxed.

 \).

 \ \ \.

 \).

 2.

 \).

 \ \).

 \).

 \).

 \ \.

 \).

0.

 \ \).

 \).

 \boxed.

2.

 \).

0.

